ssid,customerid,name,country,realm_name,imsi_prefix,status,dra,connection,coveragestatus,productcomment,commercialstatus,owner,region,tagid,technicalcomment
6566,763,Bell Mobility,Canada,"epc.mnc610.mcc302.3gppnetwork.org,epc.mnc690.mcc302.3gppnetwork.org","302610,302690",online,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,North America,,
7268,2530,Bragg Communications,Canada,epc.mnc270.mcc302.3gppnetwork.org,302270,online,EU DSC,Direct,Live,Eastlink,,Jason.Qin@syniverse.com,North America,,
7458,2458,Execulink Telecom,Canada,epc.mnc340.mcc302.3gppnetwork.org,302340,online,"Digital (Aspenta), NA DSC",Direct,Live,,,fabian.castillo@syniverse.com,North America,,
7341,1761,Freedom Mobile,Canada,epc.mnc490.mcc302.3gppnetwork.org,302490,online,NA DSR,Direct,Live,,,malyadri.palakeerthi@syniverse.com,North America,,
12520,1935,Ice Wireless GSM,Canada,epc.mnc620.mcc302.3gppnetwork.org,302620,hidden,,Indirect,,,,,,,
6498,332,Microcell Telecommunications (Fido),Canada,,,,,,,"Merged with rogers, not appear in RMT , but displayed in external coveraglist",,,,,
6899,2333,Mobilicity Canada,Canada,,,,,,,Mobilicity was acquired by Rogers Wireless,,,,,
6497,334,Rogers Wireless,Canada,"epc.mnc370.mcc302.3gppnetwork.org,epc.mnc720.mcc302.3gppnetwork.org","302370,302720",online,NA DSR,Direct,Live,,,malyadri.palakeerthi@syniverse.com,North America,,
7344,1981,Sasktel Mobility,Canada,epc.mnc780.mcc302.3gppnetwork.org,302780,online,NA DSC,Direct,Live,,,Mario.herrera@syniverse.com,North America,,
12596,3143,SSi Micro LTD,Canada,epc.mnc480.mcc302.3gppnetwork.org,302480,online,NA DSC,Direct,Live,,,fabian.castillo@syniverse.com,North America,,"All SSi Micro MME nodes work on an active/standby fashion, where one of the SCTP associations towards one of the NA DSCs will be up, while the other one will be down. 
"
6121,764,Telus Mobility,Canada,"epc.mnc220.mcc302.3gppnetwork.org,epc.mnc760.mcc302.3gppnetwork.org","302220,302760",online,NA DSC,Direct,Live,,,Mario.herrera@syniverse.com,North America,,AIR Destination realm:dra.ipx.syniverse.3gppnetwork.org
7054,1844,Videotron,Canada,epc.mnc500.mcc302.3gppnetwork.org,302500,online,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,North America,,
7459,2869,Wightman,Canada,epc.mnc940.mcc302.3gppnetwork.org,302940,online,"Digital (Aspenta), NA DSC",Direct,Live,,,fabian.castillo@syniverse.com,North America,,
12741,3169,Xplornet,Canada,epc.mnc130.mcc302.3gppnetwork.org,302130,online,NA DSC,Direct,,,,fabian.castillo@syniverse.com,North America,,
12742,1762,CVMovel SA,Cape Verde,epc.mnc001.mcc625.3gppnetwork.org,62501,hidden,,,,,,,,,"We do not have this OPs defalut peering hub information now, so decide route, request filter and list cache are all not configured on DSC, it is only used for K2R route currently, if get their IPX provider info in the future, will bring it online completely by then.--------2018-07-17
"
12761,1763,T+ Telecomunicacoes,Cape Verde,epc.mnc002.mcc625.3gppnetwork.org,62502,online,,Indirect,,,,,,,
7057,1652,Cable and Wireless Cayman,Cayman Islands,epc.mnc140.mcc346.3gppnetwork.org,346140,group,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,CALA,,Cable and wireless group member
12626,1287,Airtel Chad,Chad,epc.mnc001.mcc622.3gppnetwork.org,62201,hidden,,Indirect,,,,,EMEA,,"BICS has not respond to elect request at the moment
SR0000002034228  - Pending Name change from Celtel to Airtel Chad, do not onboard this OP until the name change is done and BICS acknoledge "
7507,1668,Millicom Tchad,Chad,epc.mnc003.mcc622.3gppnetwork.org,62203,online,,Indirect,Live,,,,EMEA,,
6979,1413,Claro Chile,Chile,epc.mnc003.mcc730.3gppnetwork.org,73003,online,,Indirect,Live,,,,CALA,,
7305,501,ENTEL PCS,Chile,epc.mnc001.mcc730.3gppnetwork.org,73001,online,,Indirect,Pending,,,,CALA,,"used to connected via TATA,migrate all route to BICS in June 8 2018


"
6622,274,Telefonica Chile,Chile,epc.mnc002.mcc730.3gppnetwork.org,73002,online,,Indirect,Live,,,,CALA,,
6585,103,China Mobile,China,"epc.mnc000.mcc460.3gppnetwork.org,epc.mnc002.mcc460.3gppnetwork.org,epc.mnc007.mcc460.3gppnetwork.org","46000,46002,46007",online,AP DSC,Direct,Live,,,greg.zhai@syniverse.com,Asia Pacific,,"China Mobile also reach NA DSR via CMI, all new route shall choose CMI peering in AP. In long term, NA CMI peering will be obselete"
6748,1440,China Telecom,China,epc.mnc011.mcc460.3gppnetwork.org,46011,online,AP DSC,Direct,Live,,,greg.zhai@syniverse.com,Asia Pacific,,
7505,3103,China Telecom C2G,China,epc.mnc099.mcc460.3gppnetwork.org,,,,,,,,,,,
6684,258,China Unicom,China,"epc.mnc001.mcc460.3gppnetwork.org,epc.mnc006.mcc460.3gppnetwork.org,epc.mnc009.mcc460.3gppnetwork.org","46001,46006,46009",online,AP DSC,Direct,Live,,,greg.zhai@syniverse.com,Asia Pacific,,
6963,2890,LAB-DSC,China,,,,,,,,,,,,
6714,591,Colombia Movil,Colombia,"epc.mnc103.mcc732.3gppnetwork.org,epc.mnc111.mcc732.3gppnetwork.org","732103,732111",online,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,CALA,,
6980,881,Comcel Colombia (Claro),Colombia,epc.mnc101.mcc732.3gppnetwork.org,732101,online,,Indirect,Live,,,,CALA,,
6621,1379,Telefonica Colombia (Movistar),Colombia,epc.mnc123.mcc732.3gppnetwork.org,732123,online,,Indirect,Live,,,,CALA,,
12664,1766,Societe Nationale des Telecommunications (Comores Telecom),Comoros,epc.mnc001.mcc654.3gppnetwork.org,65401,hidden,,Indirect,,,,,EMEA,,
12598,3063,Africell RDC sprl,Congo The Democratic Republic,,,,,,,,,,,,
12521,1768,Telecom Cook Islands,Cook Islands,epc.mnc001.mcc548.3gppnetwork.org,54801,hidden,,Indirect,,,,,,,
7312,2311,Claro CR Telecomunicaciones,Costa Rica,epc.mnc003.mcc712.3gppnetwork.org,71203,online,,Indirect,Live,,,,North America,,
7352,1370,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,Costa Rica,epc.mnc001.mcc712.3gppnetwork.org,71201,hidden,,Indirect,Live,,,,North America,,"

"
6794,2422,Telefonica Moviles Costa Rica,Costa Rica,epc.mnc004.mcc712.3gppnetwork.org,71204,online,,Indirect,Live,"Do not engage customer about termination.  I will inform if there is a need to terminate and migrate to their Internal DSS but for now they are extending the service until August.

Regards
Patricia
",,malyadri.palakeerthi@syniverse.com,CALA,,"New Comments: (19th Jully 2016)

Telefonica Moviles Costa Rica has been migrated to TIWS, so the path is:

   *(Any RP) - S9NA - TIWS - Telefonica Moviles Costa Rica

-----------------------
Old comments
Do not migrate unless get patria confirmation."
12528,1614,Atlantique Telecom,Cote D'ivoire,epc.mnc002.mcc612.3gppnetwork.org,61202,online,,Indirect,,,,,EMEA,,
7450,1490,MTN Ivory Coast,Cote D'ivoire,epc.mnc005.mcc612.3gppnetwork.org,61205,online,,Indirect,,,,,,,"Telus request to open S6A , IR21 shows BICS, request has been sent to BICS, once BICS agrees, will bring online"
7431,894,Orange Ivory Coast,Cote D'ivoire,epc.mnc003.mcc612.3gppnetwork.org,61203,online,,Indirect,Live,,,,EMEA,,
6941,395,Croatian Telecom Inc,Croatia,epc.mnc001.mcc219.3gppnetwork.org,21901,online,,Indirect,Live,,,,EMEA,,
6978,635,Tele2 Croatia,Croatia,epc.mnc002.mcc219.3gppnetwork.org,21902,online,,Indirect,Live,,,,EMEA,,
6832,827,VIPNet,Croatia,epc.mnc010.mcc219.3gppnetwork.org,21910,online,,Indirect,Live,,,,EMEA,,
7483,657,Cubacel,Cuba,epc.mnc001.mcc368.3gppnetwork.org,36801,hidden,,Indirect,,,,,,,
7351,435,Cyprus Telecommunications Auth,Cyprus,epc.mnc001.mcc280.3gppnetwork.org,28001,hidden,,Indirect,Live,,,,EMEA,,"As per checked on 25th July, no sales opportunity yet.  Route should be opened via Comfone, without per-route approval"
7402,746,MTN Cyprus,Cyprus,epc.mnc010.mcc280.3gppnetwork.org,28010,online,,Indirect,Live,,,,EMEA,,
7034,2416,PrimeTel Cyprus,Cyprus,epc.mnc020.mcc280.3gppnetwork.org,28020,online,,Indirect,Live,,,,EMEA,,
7063,402,O2 Czech Republic,Czech Republic,epc.mnc002.mcc230.3gppnetwork.org,23002,online,,Indirect,Live,,,,EMEA,,
6898,323,T-Mobile Czech,Czech Republic,epc.mnc001.mcc230.3gppnetwork.org,23001,online,,Indirect,Live,,,,EMEA,,
6801,579,Vodafone Czech,Czech Republic,epc.mnc003.mcc230.3gppnetwork.org,23003,online,,Indirect,Live,,,,EMEA,,
7126,580,Hutchison 3G Denmark,Denmark,epc.mnc006.mcc238.3gppnetwork.org,23806,hidden,,Indirect,Live,,,,EMEA,,
6947,272,TDC Mobil AS,Denmark,epc.mnc001.mcc238.3gppnetwork.org,23801,online,,Indirect,Live,,,,EMEA,,
6920,355,Telenor Denmark,Denmark,epc.mnc002.mcc238.3gppnetwork.org,23802,online,,Indirect,Live,,,,EMEA,,
6834,376,TeliaSonera Denmark,Denmark,epc.mnc020.mcc238.3gppnetwork.org,23820,online,,Indirect,Live,,,,EMEA,,
12618,3155,Wavely,Denmark,epc.mnc042.mcc238.3gppnetwork.org,23842,online,,Indirect,,,,,EMEA,,
12728,1921,Evatis (Djibouti Telekom),Djibouti,epc.mnc001.mcc638.3gppnetwork.org,63801,hidden,,Indirect,,,,,EMEA,,
12639,1656,Cable and Wireless Dominica,Dominica,epc.mnc110.mcc366.3gppnetwork.org,366110,Group,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,CALA,,Cable and wireless group member
6912,647,"Compania Dominicana De Telefonos,S.A.",Dominican Republic,epc.mnc002.mcc370.3gppnetwork.org,37002,online,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,North America,,"Also named as ""VERIZO Dominican""

Claro Dominicana have been migrated from Ibasis to Syniverse."
7107,427,Orange Dominicana,Dominican Republic,epc.mnc001.mcc370.3gppnetwork.org,37001,online,,Indirect,Live,,,,EMEA,,
12531,1719,Trilogy Dominicana,Dominican Republic,epc.mnc004.mcc370.3gppnetwork.org,37004,online,NA DSC,Direct,Live,,,fabian.castillo@syniverse.com,CALA,,
12554,1537,CNT EP,Ecuador,epc.mnc002.mcc740.3gppnetwork.org,74002,online,NA DSC,Direct,Live,,Contract,Mario.herrera@syniverse.com,CALA,,
7348,604,Conecel,Ecuador,epc.mnc001.mcc740.3gppnetwork.org,74001,online,,Indirect,Live,,,,CALA,,
7050,1398,Telefonica Moviles Ecuador,Ecuador,epc.mnc000.mcc740.3gppnetwork.org,74000,online,,Indirect,Live,,,,CALA,,
7411,864,ETISALAT Egypt,Egypt,epc.mnc003.mcc602.3gppnetwork.org,60203,online,,Indirect,Live,,,,EMEA,,
7433,437,Mobinil,Egypt,epc.mnc001.mcc602.3gppnetwork.org,60201,online,,Indirect,Live,,,,EMEA,,
7293,411,Vodafone Egypt,Egypt,epc.mnc002.mcc602.3gppnetwork.org,60202,online,,Indirect,Live,,,,EMEA,,
12650,1426,CTE Telecom Personal,El Salvador,epc.mnc001.mcc706.3gppnetwork.org,70601,online,,,,,,,,,
7399,1400,Telefonica Moviles EL Salvador,El Salvador,epc.mnc004.mcc706.3gppnetwork.org,70604,online,,Indirect,Live,,,,CALA,,
12500,1427,Tigo(Telemovil) El Salvador,El Salvador,epc.mnc003.mcc706.3gppnetwork.org,70603,online,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,CALA,,
6837,328,AS EMT,Estonia,epc.mnc001.mcc248.3gppnetwork.org,24801,online,,Indirect,Live,,,,EMEA,,
6930,422,ELISA EESTI AS,Estonia,epc.mnc002.mcc248.3gppnetwork.org,24802,online,,Indirect,Live,,,,EMEA,,
6971,633,Tele2 Estonia,Estonia,epc.mnc003.mcc248.3gppnetwork.org,24803,online,,Indirect,Live,,,,EMEA,,
7477,592,Faroese Telecom,Faroe Islands,epc.mnc001.mcc288.3gppnetwork.org,28801,online,,Indirect,Live,,,,EMEA,FROFT,
6863,1721,Digicel Fiji,Fiji,epc.mnc002.mcc542.3gppnetwork.org,54202,online,,Indirect,Live,,,,Asia Pacific,,"""Tonga/Fiji/Vanuatu have the same realm name"" per Digicel group.

Per their IR21, their IMSI prefix are different.

Now only leave Digicel Fiji in RMT, the other 2 was set to ""group"" of RMT status.

"
6796,921,Vodafone Fiji,Fiji,epc.mnc001.mcc542.3gppnetwork.org,54201,online,,Indirect,Live,,,,Asia Pacific,,
7484,386,Alands Mobiltelefon,Finland,epc.mnc014.mcc244.3gppnetwork.org,24414,online,,Indirect,,,,,EMEA,,
6934,381,Elisa,Finland,"epc.mnc005.mcc244.3gppnetwork.org,epc.mnc021.mcc244.3gppnetwork.org","24405,24421",online,,Indirect,Live,,,,EMEA,,
7125,1513,Finnet (DNA) Finland,Finland,epc.mnc012.mcc244.3gppnetwork.org,24412,hidden,,Indirect,Live,,,,EMEA,,AKA: DNA Finland
6835,344,TeliaSonera Finland,Finland,epc.mnc091.mcc244.3gppnetwork.org,24491,online,,Indirect,Live,,,,EMEA,,
6847,2859,TeliaSonera Peer Hub,Finland,,,online,NA DSC,Peer,,,,,,,
6523,322,Bouygues Telecom,France,epc.mnc020.mcc208.3gppnetwork.org,20820,online,EU DSC,Direct,Live,,,Jason.Qin@syniverse.com,EMEA,,"use roaming steering , HSS will reject ULR with DIAMETER_UNABLE_TO_COMPLY (5012)"
6570,275,FranceTelecom Peering Hub,France,,,,"NA DSC, EU DSC",Peer,,When opening tickets with FT/Orange please use our service ID LD011315,,wind.wang@syniverse.com,,,"Primary IP Second IP configured in CCB is for FRT DSC, On AMS DSC, IP is switched"
6916,2657,HALYS,France,epc.mnc094.mcc208.3gppnetwork.org,20894,online,,Indirect,Live,,,,EMEA,,
7369,3051,Hewlett-Packard Communication Frech,France,epc.mnc012.mcc208.3gppnetwork.org,20812,online,NA DSC,Direct,Live,,,fabian.castillo@syniverse.com,EMEA,,
7496,2652,Mobiquithings France,France,epc.mnc024.mcc208.3gppnetwork.org,20824,online,,Indirect,Live,,,,EMEA,,
