ssid,customerid,name,country,realm_name,imsi_prefix,status,dra,connection,coveragestatus,productcomment,commercialstatus,owner,region,tagid,technicalcomment,hub,hub_policy,LIST,LISTREGION
6954,382,T-Mobile Austria,Austria,"epc.mnc003.mcc232.3gppnetwork.org,epc.mnc007.mcc232.3gppnetwork.org","23203,23207",online,,Indirect,Live,,,,EMEA,AUTMM;AUTTR,,:DT,DT:Prefered(Default),LIST_6954_TMOBILE_AUSTRIA,"EU,NA"
6632,2753,TelecomAustria DSS Peer,Austria,,,,EU DSC,Peer,,,,wind.wang@syniverse.com,,,,,,,
12498,3109,Yesss Austria,Austria,epc.mnc012.mcc232.3gppnetwork.org,23212,online,,Indirect,,,,,EMEA,AUTON,,:TelecomAustria,TelecomAustria:Prefered(Default),LIST_12498_YESSS_AUSTRIA,EU
7465,606,Azercell,Azerbaijan,epc.mnc001.mcc400.3gppnetwork.org,"40001,40006",online,,Indirect,Live,,,,EMEA,AZEAC,,:TeliaSonera,TeliaSonera:Prefered(Default),LIST_7465_AZERCELL,NA
7103,1506,Azerfon,Azerbaijan,epc.mnc004.mcc400.3gppnetwork.org,40004,online,,Indirect,Live,,,,EMEA,AZEAF,,:Comfone,Comfone:Prefered(Default),LIST_7103_AZERFON,"EU,NA"
6948,1734,BAKCELL Ltd,Azerbaijan,epc.mnc002.mcc400.3gppnetwork.org,40002,online,,Indirect,Live,,,,EMEA,AZEBC,,:BICS,BICS:Prefered(Default),LIST_6948_BAKCELL_LTD,"EU,NA"
6895,1432,BTC Bahamas,Bahamas,epc.mnc039.mcc364.3gppnetwork.org,36439,online,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,CALA,BHSBH,,,,LIST_6895_BTC_BAHAMAS,NA
7424,3081,NewCo2015 Bahamas,Bahamas,epc.mnc049.mcc364.3gppnetwork.org,36449,online,,Indirect,,,,,,BHSNC,,:BICS,BICS:Prefered(Default),LIST_7424_NEWCO2015_BAHAMAS,"EU,NA"
7304,503,Batelco Bahrain,Bahrain,epc.mnc001.mcc426.3gppnetwork.org,42601,online,EU DSC,Direct,Live,,,Jason.Qin@syniverse.com,EMEA,BHRBT,"Previously it was an indirect operator behind of TATA.

Now it is directly connected on S9EU DSC",,,LIST_7304_BATELCO_BAHRAIN,EU
12658,1838,STC Bahrain,Bahrain,epc.mnc004.mcc426.3gppnetwork.org,42604,online,EU DSC,Direct,,,,tom.yu@syniverse.com,EMEA,BHRST,"2018/8/9 Currently the diameter links are up now, we are waiting the test from customer.",,,LIST_12658_STC_BAHRAIN,EU
12496,502,Zain Bahrain,Bahrain,epc.mnc002.mcc426.3gppnetwork.org,42602,online,,Indirect,Live,,,,EMEA,BHRMV,,:BICS,BICS:Prefered(Default),LIST_12496_ZAIN_BAHRAIN,"EU,NA"
12607,1026,Banglalink,Bangladesh,epc.mnc003.mcc470.3gppnetwork.org,47003,online,,Indirect,,,,,EMEA,BGDBL,,:BICS,BICS:Prefered(Default),LIST_12607_BANGLALINK,"EU,NA"
12564,578,Grameen Phone,Bangladesh,epc.mnc001.mcc470.3gppnetwork.org,47001,online,,Indirect,,,,,Asia Pacific,BGDGP,According to FT: Grameenphone Bangladesh does not support LTE on 2018/08/30,:FT,FT:Prefered(Default),LIST_12564_GRAMEEN_PHONE,"EU,NA"
12553,861,Robi Axiata,Bangladesh,"epc.mnc002.mcc470.3gppnetwork.org,epc.mnc007.mcc470.3gppnetwork.org","47002,47007",online,,Indirect,,,,,Asia Pacific,BGDAK,,:FT,FT:Prefered(Default),LIST_12553_AKTEL,"EU,NA"
7452,1655,Cable and Wireless Barbados,Barbados,epc.mnc600.mcc342.3gppnetwork.org,342600,group,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,CALA,BRBCW,Cable and wireless group member,,,,
7500,1511,Best Belarus,Belarus,epc.mnc004.mcc257.3gppnetwork.org,25704,hidden,,Indirect,,,,,EMEA,BLRBT,"att requires to open route with TATA, not on line in DSC yet, we wish to use other peering hub as default peering

Best confirmed they only have Comfone as IPX provider, will use Comfone as default route.",:TATA:Comfone,"TATA:Need approval
Comfone:Prefered(Default)",LIST_7500_BEST_BELARUS,"EU,NA"
7359,866,MTS Belarus,Belarus,epc.mnc002.mcc257.3gppnetwork.org,25702,hidden,,Indirect,Live,,,,EMEA,BLR02,no sales opportunity yet. (31st Aug 2016),:Comfone,Comfone:Prefered(Default),LIST_7359_MTS_BELARUS,"EU,NA"
12604,801,Velcom Belarus,Belarus,epc.mnc001.mcc257.3gppnetwork.org,25701,online,,Indirect,,,,,,BLRMD,"April 2018 Velcom is not ready yet. Their actual plan is to be ready before summer.
",:TelecomAustria,TelecomAustria:Prefered(Default),,
6397,2218,BICS SMS peering,Belgium,,,peer,"EU DSC, NA DSC",Peer,,,,wind.wang@syniverse.com,,,,,,,
6695,321,Mobistar,Belgium,epc.mnc010.mcc206.3gppnetwork.org,20610,online,,Indirect,Live,,,,EMEA,BELMO,,:FT,FT:Prefered(Default),LIST_6695_MOBISTAR,"EU,NA"
6604,340,Proximus,Belgium,epc.mnc001.mcc206.3gppnetwork.org,20601,online,,Indirect,Live,,,,EMEA,BELTB,,:BICS,BICS:Prefered(Default),LIST_6604_PROXIMUS,"EU,NA"
12495,2263,Telenet Belgium,Belgium,epc.mnc005.mcc206.3gppnetwork.org,20605,online,,Indirect,,,,,EMEA,,,:iBasis,iBasis:Prefered(Default),LIST_12495_TELENET_BELGIUM,EU
6857,356,Telenet Group bvba sprl(BASE),Belgium,epc.mnc020.mcc206.3gppnetwork.org,20620,online,,Indirect,Live,,,,EMEA,BELKO,All offline route of Telenet Group Base cut off on 2018 July30.Migration to iBasis fully done.,:iBasis,iBasis:Prefered(Default),LIST_6857_BASE_NV_SA,"EU,NA"
7403,966,Belize Telecom,Belize,epc.mnc067.mcc702.3gppnetwork.org,70267,hidden,,Indirect,,,,,CALA,BLZ67,,:Comfone,Comfone:Prefered(Default),LIST_7403_BELIZE_TELECOM,"EU,NA"
7467,3077,Speednet,Belize,epc.mnc069.mcc702.3gppnetwork.org,70269,online,NA DSC,Direct,Live,,,,CALA,BLZSC,,,,LIST_7467_SPEEDNET,NA
7334,1725,Digital Bermuda,Bermuda,epc.mnc000.mcc350.3gppnetwork.org,35000,online,"NA DSC, Commnet Wireless",Direct,Live,,,malyadri.palakeerthi@syniverse.com,CALA,BMUBD,reach via CommNet connections ,,,LIST_7334_DIGITAL_BERMUDA,NA
12760,1732,B-Mobile Bhutan,Bhutan,epc.mnc011.mcc402.3gppnetwork.org,40211,hidden,,Indirect,,,,,Asia Pacific,BTNBM,"We do not have this OPs defalut peering hub information now, so decide route, request filter and list cache are all not configured on DSC, it is only used for K2R route currently, if get their IPX provider info in the future, will bring it online completely by then.--------2018-08-08",:Comfone K2R,Comfone K2R:Prefered(Default),,
7469,1680,TashiCell,Bhutan,epc.mnc077.mcc402.3gppnetwork.org,40277,online,,Indirect,,,,,,BTNTC,,:Comfone,Comfone:Prefered(Default),LIST_7469_TASHICELL,"EU,NA"
12578,925,Entel,Bolivia,epc.mnc002.mcc736.3gppnetwork.org,73602,hidden,,Indirect,,,,,CALA,BOLME,,:iBasis,iBasis:Prefered(Default),LIST_12578_ENTEL,NA
7118,1726,NUEVATEL Bolivia,Bolivia,epc.mnc001.mcc736.3gppnetwork.org,73601,online,,Indirect,Live,,,,CALA,BOLNT,,:Comfone,Comfone:Not prefered no Need approval,LIST_7118_NUEVATEL_BOLIVIA,"EU,NA"
7269,1681,Telecel Bolivia,Bolivia,epc.mnc003.mcc736.3gppnetwork.org,73603,online,NA DSC,Direct,Live,,,fabian.castillo@syniverse.com,CALA,BOLTE,,,,LIST_7269_TELECEL_BOLIVIA,NA
12660,944,BH Telecom,Bosnia and Herzegovina,,,,,,,,,,,BIHPT,,,,,
12754,1682,Mascom Botswana,Botswana,epc.mnc001.mcc652.3gppnetwork.org,65201,hidden,,Indirect,,,,,,BWAGA,"We do not have this OPs defalut peering hub information now, so decide route, request filter and list cache are all not configured on DSC, it is only used for K2R route currently, if get their IPX provider info in the future, will bring it online completely by then.--------2018-07-23
",:Comfone K2R,Comfone K2R:Prefered(Default),,
7394,1313,Orange Botswana,Botswana,epc.mnc002.mcc652.3gppnetwork.org,65202,online,,Indirect,Live,,,,EMEA,BWAVC,,:FT,FT:Prefered(Default),LIST_7394_ORANGE_BOTSWANA,"EU,NA"
6639,491,Claro Brazil,Brazil,epc.mnc005.mcc724.3gppnetwork.org,72405,online,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,CALA,BRACL,,,,LIST_6639_CLARO_BRAZIL,NA
7466,1961,Nextel Brazil,Brazil,,,,,,,,,,,BRAN3,,,,,
6594,828,Oi Movel SA,Brazil,epc.mnc031.mcc724.3gppnetwork.org,72431,online,NA DSC,Direct,Live,,,Mario.herrera@syniverse.com,CALA,BRATM,"AP,EU has point to S9NA, A6NA has not migrate yet, hanlin will work with balram wo migrate route on A6NA",,,LIST_6594_OI_MOVEL_SA,NA
6579,500,TIM Brazil,Brazil,"epc.mnc002.mcc724.3gppnetwork.org,epc.mnc003.mcc724.3gppnetwork.org,epc.mnc004.mcc724.3gppnetwork.org","72402,72403,72404",online,,Indirect,Live,,,,CALA,BRASP;BRACS;BRARN,,:Comfone:Telecom Italia Sparkle,"Comfone:Prefered(Default)
Telecom Italia Sparkle:Need approval",LIST_6579_TIM_BRAZIL,"EU,NA"
6363,917,Vivo,Brazil,"epc.mnc006.mcc724.3gppnetwork.org,epc.mnc010.mcc724.3gppnetwork.org,epc.mnc011.mcc724.3gppnetwork.org,epc.mnc023.mcc724.3gppnetwork.org","72406,72410,72411,72423",online,,Indirect,Live,,,Mario.herrera@syniverse.com,CALA,BRAV1,"Will be migrate to TIWS behind S9NA in Aug 2017, before get the confirmation of migration ,all route point to A6NA",:TIWS,TIWS:Prefered(Default),LIST_6363_VIVO,"EU,NA"
6562,504,DataStream Technology,Brunei Darussalam,epc.mnc011.mcc528.3gppnetwork.org,52811,online,AP DSC,Direct,Live,,,greg.zhai@syniverse.com,Asia Pacific,BRNBN,,:FT,FT:Need approval,LIST_6562_DATASTREAM_TECHNOLOGY,AP
7298,849,BTC Bulgaria,Bulgaria,epc.mnc003.mcc284.3gppnetwork.org,28403,online,,Indirect,Live,,,,EMEA,BGRVA,"Also named as ""Vivacom Bulgaria""",:Telenor,Telenor:Prefered(Default),LIST_7298_BTC_BULGARIA,"EU,NA"
7340,510,Mobitel Bulgaria,Bulgaria,epc.mnc001.mcc284.3gppnetwork.org,28401,online,,Indirect,Live,,,,EMEA,BGR01,,:TelecomAustria,TelecomAustria:Prefered(Default),LIST_7340_MOBITEL_BULGARIA,EU
7285,672,Telenor Bulgaria,Bulgaria,epc.mnc005.mcc284.3gppnetwork.org,28405,online,,Indirect,Live,,,,EMEA,BGRCM,,:Telenor,Telenor:Prefered(Default),LIST_7285_TELENOR_BULGARIA,"EU,NA"
7397,616,CamGSM,Cambodia,epc.mnc001.mcc456.3gppnetwork.org,45601,online,,Indirect,,,,,,KHMGM,,:FT,FT:Prefered(Default),LIST_7397_CAMGSM,"EU,NA"
6810,1494,Smart Axiata,Cambodia,"epc.mnc002.mcc456.3gppnetwork.org,epc.mnc006.mcc456.3gppnetwork.org","45602,45606",online,,Indirect,Live,,,,Asia Pacific,KHML1,,:FT,FT:Prefered(Default),LIST_6810_SMART_AXIATA,"EU,NA"
7119,2952,South East Asia Telecom,Cambodia,epc.mnc011.mcc456.3gppnetwork.org,45611,hidden,,Indirect,Pending,,,,Asia Pacific,KHM3A,,:Comfone,Comfone:Prefered(Default),LIST_7119_SOUTH_EAST_ASIA_TELECOM,"EU,NA"
7270,1510,Viettel Cambodia ,Cambodia,epc.mnc008.mcc456.3gppnetwork.org,45608,online,,Indirect,Live,,,,Asia Pacific,KHMVC,"This operator is also named as ""Metfone"" -- noted by Hanlin",:FT,FT:Prefered(Default),LIST_7270_VIETTEL_CAMBODIA_,"AP,EU,NA"
7490,1347,MTN Cameroon,Cameroon,epc.mnc001.mcc624.3gppnetwork.org,62401,online,,Indirect,,,,,EMEA,CMRMT,,:BICS,BICS:Prefered(Default),LIST_7490_MTN_CAMEROON,"EU,NA"
7420,859,Orange Cameroon,Cameroon,epc.mnc002.mcc624.3gppnetwork.org,62402,online,,Indirect,Live,,,,EMEA,CMR02,,:FT,FT:Prefered(Default),LIST_7420_ORANGE_CAMEROON,"EU,NA"
6566,763,Bell Mobility,Canada,"epc.mnc610.mcc302.3gppnetwork.org,epc.mnc690.mcc302.3gppnetwork.org","302610,302690",online,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,North America,CANBM,,:BICS,BICS:Need approval,LIST_6566_BELL_MOBILITY,NA
7268,2530,Bragg Communications,Canada,epc.mnc270.mcc302.3gppnetwork.org,302270,online,EU DSC,Direct,Live,Eastlink,,Jason.Qin@syniverse.com,North America,CANEL,,,,LIST_7268_BRAGG_COMMUNICATIONS,"EU,NA"
7458,2458,Execulink Telecom,Canada,epc.mnc340.mcc302.3gppnetwork.org,302340,online,"Digital (Aspenta), NA DSC",Direct,Live,,,fabian.castillo@syniverse.com,North America,CANET,,,,LIST_7458_EXECULINK_TELECOM,NA
7341,1761,Freedom Mobile,Canada,epc.mnc490.mcc302.3gppnetwork.org,302490,online,NA DSR,Direct,Live,,,malyadri.palakeerthi@syniverse.com,North America,CANGW,,,,LIST_7341_WIND_MOBILE,NA
12520,1935,Ice Wireless GSM,Canada,epc.mnc620.mcc302.3gppnetwork.org,302620,hidden,,Indirect,,,,,,CANIW,,:Comfone,Comfone:Prefered(Default),LIST_12520_ICE_WIRELESS_GSM,"EU,NA"
6498,332,Microcell Telecommunications (Fido),Canada,,,,,,,"Merged with rogers, not appear in RMT , but displayed in external coveraglist",,,,CANMC,,,,,
6899,2333,Mobilicity Canada,Canada,,,,,,,Mobilicity was acquired by Rogers Wireless,,,,CANDW,,,,,
6497,334,Rogers Wireless,Canada,"epc.mnc370.mcc302.3gppnetwork.org,epc.mnc720.mcc302.3gppnetwork.org","302370,302720",online,NA DSR,Direct,Live,,,malyadri.palakeerthi@syniverse.com,North America,CANRW,,:BICS,BICS:Need approval,LIST_6497_ROGERS_WIRELESS,"EU,NA"
7344,1981,Sasktel Mobility,Canada,epc.mnc780.mcc302.3gppnetwork.org,302780,online,NA DSC,Direct,Live,,,Mario.herrera@syniverse.com,North America,CANST,,,,LIST_7344_SASKTEL_MOBILITY,NA
12596,3143,SSi Micro LTD,Canada,epc.mnc480.mcc302.3gppnetwork.org,302480,online,NA DSC,Direct,Live,,,fabian.castillo@syniverse.com,North America,CANSS,"All SSi Micro MME nodes work on an active/standby fashion, where one of the SCTP associations towards one of the NA DSCs will be up, while the other one will be down. 
",,,LIST_12596_SSI_MICRO_LTD,NA
6121,764,Telus Mobility,Canada,"epc.mnc220.mcc302.3gppnetwork.org,epc.mnc760.mcc302.3gppnetwork.org","302220,302760",online,NA DSC,Direct,Live,,,Mario.herrera@syniverse.com,North America,CANTM,AIR Destination realm:dra.ipx.syniverse.3gppnetwork.org,,,LIST_6121_TELUS_MOBILITY,"EU,NA"
7054,1844,Videotron,Canada,epc.mnc500.mcc302.3gppnetwork.org,302500,online,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,North America,CANVT,,,,LIST_7054_VIDEOTRON,NA
7459,2869,Wightman,Canada,epc.mnc940.mcc302.3gppnetwork.org,302940,online,"Digital (Aspenta), NA DSC",Direct,Live,,,fabian.castillo@syniverse.com,North America,CANWT,,,,LIST_7459_WIGHTMAN,NA
12741,3169,Xplornet,Canada,epc.mnc130.mcc302.3gppnetwork.org,302130,online,NA DSC,Direct,,,,fabian.castillo@syniverse.com,North America,,,,,LIST_12741_XPLORNET,NA
12742,1762,CVMovel SA,Cape Verde,epc.mnc001.mcc625.3gppnetwork.org,62501,hidden,,,,,,,,CPVCV,"We do not have this OPs defalut peering hub information now, so decide route, request filter and list cache are all not configured on DSC, it is only used for K2R route currently, if get their IPX provider info in the future, will bring it online completely by then.--------2018-07-17
",:Comfone K2R,Comfone K2R:Prefered(Default),,
12761,1763,T+ Telecomunicacoes,Cape Verde,epc.mnc002.mcc625.3gppnetwork.org,62502,online,,Indirect,,,,,,CPVTM,,:BICS,BICS:Prefered(Default),LIST_12761_T_TELECOMUNICACOES,"AP,EU,NA"
7057,1652,Cable and Wireless Cayman,Cayman Islands,epc.mnc140.mcc346.3gppnetwork.org,346140,group,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,CALA,CYMCW,Cable and wireless group member,,,,
12626,1287,Airtel Chad,Chad,epc.mnc001.mcc622.3gppnetwork.org,62201,hidden,,Indirect,,,,,EMEA,TCDCT,"BICS has not respond to elect request at the moment
SR0000002034228  - Pending Name change from Celtel to Airtel Chad, do not onboard this OP until the name change is done and BICS acknoledge ",:BICS,BICS:Prefered(Default),,
7507,1668,Millicom Tchad,Chad,epc.mnc003.mcc622.3gppnetwork.org,62203,online,,Indirect,Live,,,,EMEA,TCDML,,:BICS,BICS:Prefered(Default),LIST_7507_MILLICOM_TCHAD,"EU,NA"
6979,1413,Claro Chile,Chile,epc.mnc003.mcc730.3gppnetwork.org,73003,online,,Indirect,Live,,,,CALA,CHLSM,,:iBasis,iBasis:Prefered(Default),LIST_6979_CLARO_CHILE,"EU,NA"
7305,501,ENTEL PCS,Chile,epc.mnc001.mcc730.3gppnetwork.org,73001,online,,Indirect,Pending,,,,CALA,CHLPC,"used to connected via TATA,migrate all route to BICS in June 8 2018


",:BICS:Comfone K2R,"BICS:Prefered(Default)
Comfone K2R:Prefered(Default)",LIST_7305_ENTEL_PCS,"EU,NA"
6622,274,Telefonica Chile,Chile,epc.mnc002.mcc730.3gppnetwork.org,73002,online,,Indirect,Live,,,,CALA,CHLTM,,:TIWS,TIWS:Prefered(Default),LIST_6622_TELEFONICA_CHILE,NA
6585,103,China Mobile,China,"epc.mnc000.mcc460.3gppnetwork.org,epc.mnc002.mcc460.3gppnetwork.org,epc.mnc007.mcc460.3gppnetwork.org","46000,46002,46007",online,AP DSC,Direct,Live,,,greg.zhai@syniverse.com,Asia Pacific,CHNCM,"China Mobile also reach NA DSR via CMI, all new route shall choose CMI peering in AP. In long term, NA CMI peering will be obselete",:CMI,CMI:Prefered(Default),LIST_6585_CHINA_MOBILE,"AP,NA"
6748,1440,China Telecom,China,epc.mnc011.mcc460.3gppnetwork.org,46011,online,AP DSC,Direct,Live,,,greg.zhai@syniverse.com,Asia Pacific,CHNDX,,,,LIST_6748_CHINA_TELECOM,AP
7505,3103,China Telecom C2G,China,epc.mnc099.mcc460.3gppnetwork.org,,,,,,,,,,,,,,,
6684,258,China Unicom,China,"epc.mnc001.mcc460.3gppnetwork.org,epc.mnc006.mcc460.3gppnetwork.org,epc.mnc009.mcc460.3gppnetwork.org","46001,46006,46009",online,AP DSC,Direct,Live,,,greg.zhai@syniverse.com,Asia Pacific,CHNCU,,,,LIST_6684_CHINA_UNICOM,AP
6963,2890,LAB-DSC,China,,,,,,,,,,,,,,,,
6714,591,Colombia Movil,Colombia,"epc.mnc103.mcc732.3gppnetwork.org,epc.mnc111.mcc732.3gppnetwork.org","732103,732111",online,NA DSC,Direct,Live,,,luisdiego.jimenez@syniverse.com,CALA,COLCO,,,,LIST_6714_COLOMBIA_MOVIL,NA
6980,881,Comcel Colombia (Claro),Colombia,epc.mnc101.mcc732.3gppnetwork.org,732101,online,,Indirect,Live,,,,CALA,COLCM,,:iBasis,iBasis:Prefered(Default),LIST_6980_COMCEL_COLOMBIA_CLARO,NA
